mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LV	64	ridge	0.1	0.2247527491	0.3530211301
LV	64	ridge	1.0	0.2227815404	0.35301963
LV	32	ridge	0.1	0.2227071313	0.3519265522
LV	32	ridge	1.0	0.2199519134	0.3521800437
LV	64	ridge	10.0	0.2182751319	0.3534600886
LV	64	hgb	fixed	0.2167045615	0.3512633989
LV	32	ridge	10.0	0.2155361246	0.3530605659
LV	16	ridge	1.0	0.2053176096	0.3546361162
LV	16	ridge	10.0	0.2036352785	0.3553695649
LV	16	ridge	0.1	0.2034697741	0.3542362321
LV	32	hgb	fixed	0.2017206599	0.3522266196
LV	16	hgb	fixed	0.1945500533	0.3536013506
